,x,y
canadian post-punk,5896,351
deep liquid,1049,1031
swedish tropical house,1963,890
lds,13459,441
neo-pagan,11828,619
yiddish folk,14999,936
comedy,13779,980
british contemporary classical,15950,308
lao traditional,15065,844
minneapolis sound,2643,1029
turntablism,3989,1086
funana,2944,1106
powerviolence,8223,229
indie psych-pop,7905,459
monterrey indie,3964,560
tropical house,1857,888
cdmx indie,5151,535
middle eastern traditional,14404,758
british brass band,16056,374
german indie,5732,673
dutch edm,1398,874
sky room,1658,741
tahitian,8502,910
french orchestra,15761,341
german house,890,1259
romantico,11056,821
healing,11981,284
musica rapa nui,10106,772
experimental bass,3370,993
panpipe,9946,567
jungle,1322,1016
marimba,15813,882
brighton indie,6354,461
prank,14756,1230
new weird america,12398,457
classical horn,16407,409
burmese traditional,15395,892
kingston on indie,7941,520
lo star,7143,584
country boogie,13413,1051
canzone genovese,13151,629
sound art,11893,293
intelligent dance music,4475,781
japanese traditional,14394,591
russian techno,743,1308
mexican techno,768,1201
bahai,5188,1027
soviet synthpop,2291,871
balkan brass,7399,871
dance rock,5202,616
samoan pop,6685,876
hard house,661,993
kawaii edm,1828,632
early music ensemble,15640,351
portuguese contemporary classical,15860,409
deep latin jazz,9378,922
japanese psychedelic rock,10376,278
new french touch,2182,991
post-punk argentina,5796,581
latvian folk,11519,569
italian disco,1669,947
chihuahua indie,5772,558
deep orgcore,7826,372
dutch pop,6748,765
kenyan traditional,13501,1079
min'yo,12950,677
cedm,2577,677
vaudeville,15946,1075
nasheed,12840,767
austro-german modernism,16480,387
neo-industrial rock,1872,451
dark post-punk,2094,425
beatboxing,3800,1047
classical oboe,15432,372
classic j-rock,5457,560
fake,4400,926
san antonio indie,7655,417
canadian garage rock,8650,385
electronica cristiana,2027,770
latin alternative,5326,779
russian dnb,1493,990
native american,12098,641
japanese math rock,6194,473
ecuadorian indie,5702,702
french reggae,7730,995
rock uruguayo,6525,635
magyar alternative,5380,601
hard trance,881,859
german rock,6206,635
catstep,2335,680
gotlandsk musik,11767,586
brazilian classical,15087,560
rap malien,5225,1166
merengue tipico,9013,1075
forro tradicional,8355,910
australian metal,6083,201
unblack metal,6794,208
croatian metal,4451,295
santur,14514,524
epic doom,8637,160
joropo,12434,932
swedish dancehall,4208,1116
indian metal,5041,242
spanish death metal,6947,213
horror punk,6562,317
welsh metal,5763,262
german tech house,225,1426
classical guitar quartet,16188,991
cyber metal,2224,240
swiss metal,4720,233
canadian choir,16709,181
kompa,5539,951
cante flamenco,15099,861
illbient,3688,840
spanish renaissance,16566,364
future ambient,2944,920
hardvapour,6600,593
deep idm,4505,842
deconstructed club,7349,581
technical death metal,8514,180
marcha funebre,12752,162
utah metal,7569,173
cascadian black metal,8834,60
metal cearense,7913,174
dutch death metal,7998,160
blackened crust,8796,69
bass house,1210,1189
japanese chillhop,8539,986
african electronic,2956,1138
indie viet,10094,693
electronic trap,2326,847
brostep,2175,786
austrian pop,4894,746
goa trance,783,865
instrumental acoustic guitar,13469,772
darkstep,1596,788
classic rock,10167,696
belo horizonte indie,8613,738
irish accordion,11914,770
progressive trance,1357,608
coventry indie,3590,540
malmo indie,7008,401
psychedelic punk,9180,336
deep flow,5452,990
sinhala rap,6789,904
russian alternative,3735,467
reggae rock,5489,951
bergen indie,6010,556
latin rock,5419,611
italian punk,6947,413
belgian rock,6748,635
german pop,5430,760
corsican folk,12703,527
guadalajara indie,4771,606
spanish folk,11742,619
polish alternative,6908,693
norwegian gospel,11582,596
indie napoletano,8247,803
rap cristiano,5155,963
aggro chileno,5884,488
esperanto,7903,801
disney espanol,10421,718
focus,14294,370
chanson,12666,746
japanese classical performance,16300,480
deep deep tech house,558,1328
american post-rock,9289,328
madchester,4449,429
dark wave,3061,480
gospel italiano,10216,421
new romantic,3304,702
hip house,1148,1091
indonesian pop,5960,619
waiata maori,9266,770
greek indie,9143,664
reggae catala,4170,920
korean superband,9861,591
instrumental math rock,8162,509
chattanooga indie,8112,608
classical countertenor,16139,443
musica aragonesa,8416,715
austropop,8638,888
vintage gospel,15659,943
guqin,16685,970
musica andorra,1386,1150
experimental poetry,13215,965
proto-techno,3879,878
bleep techno,2116,1060
austrian techno,474,1232
slowcore,10470,435
permanent wave,7161,509
italian progressive rock,11235,451
ghanaian gospel,6709,808
vaikiskos dainos,8101,1055
euskal indie,5139,553
french metal,6059,273
irish modern jazz,12692,707
hungarian pop,5923,770
liechtenstein,11607,233
twin cities indie,8335,565
trap metal italiana,5848,823
german punk,6022,451
louvor,10641,471
uplifting trance,1370,603
comic metal,4857,443
uk noise rock,8137,255
string orchestra,15444,323
ska revival,8355,1055
beatdown,6661,439
australian reggae fusion,6970,857
danish pop rock,5112,738
british comedy,13853,1116
electro latino,1533,1073
baroque,15503,399
indiana indie,8490,509
indie pop,6673,540
shimmer pop,3848,565
indie cantabria,5303,544
dutch rock,8248,632
classic finnish rock,9984,684
deep surf music,8452,514
baltimore indie,8859,457
london indie,6428,505
bard,12937,890
nueva cancion,12986,916
aghani lil-atfal,8775,1060
deep dnb,1423,1095
turkish metal,5214,395
latvian indie,6073,596
armenian folk,9241,673
dansk lovsang,9278,560
medieval ensemble,14825,332
argentine rock,7566,641
soundtrack,12730,246
channel islands indie,8274,584
christian afrobeat,5032,894
russian romance,13831,619
belgian dance,1322,916
chinderlieder,10219,1109
uyghur folk,11803,827
belgian contemporary classical,15466,427
italian renaissance,16627,251
bansuri,14844,584
oud,14690,795
italian doom metal,7349,146
cosmic black metal,8284,66
neo-trad prog,7729,319
pop rap brasileiro,8330,990
virginia punk,7913,284
metal paranaense,7076,233
slovenian metal,4870,210
black speed metal,7472,119
musica jibara,10851,1023
pennsylvania hardcore,9094,264
samba moderno,9672,896
italian tech house,77,1422
mexican tech house,176,1375
industrial black metal,4733,153
tamburica,11543,511
vietnamese bolero,10365,540
mexican pop punk,3700,334
flamenco fusion,7498,963
huayno popular,9299,959
dutch drill,4733,1189
polish metal,5750,211
glam punk,6599,295
brooklyn drill,5465,1122
chicago pop punk,4339,302
modern progressive rock,9009,334
sevillanas,10008,810
chinese opera,16915,641
electronica chilena,2128,1100
ambient trance,3127,715
new england experimental,11284,395
experimental ambient,11563,323
russian black metal,6959,76
oulu metal,5451,181
brazilian heavy metal,4326,238
latvian hip hop,6465,1035
riot grrrl,8325,447
la indie,5381,507
ska mexicano,6465,795
danish pop,4222,857
orquesta cubana,11988,941
slovenian rock,7841,565
christian pop,4881,524
electric bass,12210,825
dutch disney,12324,718
canadian classical,15818,267
berlin minimal techno,497,1307
inuit pop,7578,779
panamanian rock,4550,556
italian occult psychedelia,10364,264
moombahton,1882,999
jamtronica,5044,699
edmonton indie,7618,549
psychedelic blues-rock,10457,505
italian indie pop,8650,593
italian alternative,6477,653
medimeisterschaften,2511,1077
dream pop,7656,315
djembe,11915,1264
ottawa indie,7301,461
korean metal,6379,353
classic eurovision,11520,693
deep freestyle,1820,988
anti-folk,11174,572
